app,device_id,tick,datetime,device,gps_x,gps_y,value0,value1,value2,value3,value4
EXAMPLE_APP,LASS-Example,50917288,15/7/15 12:39:11,LinkItONE,24.802055000000006,120.97804166666667,0.00,66.00,1.00,840.41,7148.46
EXAMPLE_APP,LASS-Example,50950901,15/7/15 12:39:45,LinkItONE,24.803161666666668,120.980445,0.00,66.00,1.00,840.41,6326.74
EXAMPLE_APP,LASS-Example,50986432,15/7/15 12:40:20,LinkItONE,24.802468333333334,120.98231166666667,0.00,66.00,1.00,840.41,1544.14
EXAMPLE_APP,LASS-Example,51022572,15/7/15 12:40:57,LinkItONE,24.801510000000004,120.98536666666666,0.00,66.00,1.00,840.41,5001.00
EXAMPLE_APP,LASS-Example,51058159,15/7/15 12:41:33,LinkItONE,24.801158333333337,120.98658833333332,0.00,66.00,1.00,856.27,594.23
EXAMPLE_APP,LASS-Example,51092740,15/7/15 12:42:7,LinkItONE,24.801158333333337,120.98658833333332,0.00,66.00,1.00,840.41,1594.83
EXAMPLE_APP,LASS-Example,51127625,15/7/15 12:42:42,LinkItONE,24.80023666666667,120.989335,0.00,66.00,1.00,840.41,1137.18
EXAMPLE_APP,LASS-Example,51162737,15/7/15 12:43:17,LinkItONE,24.799264999999995,120.99246166666664,0.00,66.00,1.00,840.41,1748.25
EXAMPLE_APP,LASS-Example,51198545,15/7/15 12:43:53,LinkItONE,24.79954,120.99392833333334,0.00,66.00,1.00,840.41,2821.72
EXAMPLE_APP,LASS-Example,51232606,15/7/15 12:44:27,LinkItONE,24.80013333333333,120.993295,0.00,66.00,1.00,840.41,1604.93
