74DA38C7CEF6	桃園市龍潭國小(2017)	32571桃園市龍潭區南龍路13號
74DA38C7CF04	桃園市德龍國小(2017)	32542桃園市龍潭區聖亭路八德段451巷140號
74DA38C7CF06	桃園市潛龍國小(2017)	32560桃園市龍潭區烏林里21鄰中豐路401號
74DA38C7CF08	桃園市石門國小(2017)	32456桃園市龍潭區佳安里文化路188號
74DA38C7D4A6	桃園市高原國小(2017)	32556桃園市龍潭區高原路568號
74DA38C7D4A4	桃園市龍源國小(2017)	32544桃園市龍潭區龍源路121巷110弄39號
74DA38C7D49A	桃園市三和國小(2017)	32543桃園市龍潭區龍新路三和段1356號
74DA38C7D49C	桃園市武漢國小(2017)	32549桃園市龍潭區武漢路100號
74DA38C7D34A	桃園市龍星國小(2017)	32557桃園市龍潭區中正路269號
74DA38C7D340	桃園市三坑國小(2017)	32547桃園市龍潭區永昌路51巷85號
74DA38C7D4A2	桃園市雙龍國小(2017)	32557桃園市龍潭區神龍路346號
74DA38C7D34C	桃園市大溪國小(2017)	33541桃園市大溪區登龍路19號
74DA38C7D35A	桃園市美華國小(2017)	33560桃園市大溪區金山路50號
74DA38C7D376	桃園市內柵國小(2017)	33558桃園市大溪區安和路38號
74DA38C7D342	桃園市福安國小(2017)	33559桃園市大溪區復興路一段755號
74DA38C7D4A0	桃園市百吉國小(2017)	33558 桃園市大溪區環湖路2段845號
74DA38C7D358	桃園市中興國小(2017)	33553桃園市大溪區瑞興里1鄰大鶯路1125號
74DA38C7D4A8	桃園市員樹林國小(2017)	33549桃園市大溪區員林路2段450號
74DA38C7D4AA	桃園市瑞祥國小(2017)	33551桃園市大溪區瑞源里14鄰石園路760巷120號
74DA38C7D344	桃園市仁善國小(2017)	33545桃園市大溪區埔頂路二段109號
74DA38C7D49E	桃園市僑愛國小(2017)	33543桃園市大溪區介壽路214號
74DA38C7D356	桃園市南興國小(2017)	33548 桃園市大溪區仁和路二段135號
74DA38C7D346	桃園市永福國小(2017)	33554桃園市大溪區信義路1165號
74DA38C7D348	桃園市田心國小(2017)	33555 桃園市大溪區文化路120號
74DA38C7D496	桃園市仁和國小(2017)	33548 桃園市大溪區仁和二街50號
74DA38C7D35E	桃園市八德國小(2017)	33451桃園市八德區興豐路222號
74DA38C7D366	桃園市大成國小(2017)	33457桃園市八德區廣福路31號
74DA38C7D362	桃園市大勇國小(2017)	33462桃園市八德區自強街60號
74DA38C7D364	桃園市瑞豐國小(2017)	33448桃園市八德區介壽路2段933巷40號
74DA38C7D360	桃園市霄裡國小(2017)	33453桃園市八德區竹園里山下街115號
74DA38C7D350	桃園市大安國小(2017)	33465桃園市八德區和平路638號
74DA38C7D34E	桃園市茄苳國小(2017)	33455桃園市八德區永豐路155號
74DA38C7D352	桃園市廣興國小(2017)	33466桃園市八德區廣德里16鄰廣興路601巷25號
74DA38C7D354	桃園市大忠國小(2017)	33462桃園市八德區忠誠街18號
74DA38C7D334	桃園市龜山國小(2017)	33343桃園市龜山區萬壽路二段933巷14號
74DA38C7D336	桃園市壽山國小(2017)	33356桃園市龜山區萬壽路二段6巷61號
74DA38C7D35C	桃園市福源國小(2017)	33348桃園市龜山區大同路916號
74DA38C7D372	桃園市大崗國小(2017)	33373桃園市龜山區大湖一路175號
74DA38C7D36C	桃園市大埔國小(2017)	33353桃園市龜山區振興路1169號
74DA38C7D326	桃園市大坑國小(2017)	33091桃園市龜山區大坑路一段850號
74DA38C7D370	桃園市山頂國小(2017)	33344桃園市龜山區頂興路2號
74DA38C7D374	桃園市龍壽國小(2017)	33355桃園市龜山區龍校街30號
74DA38C7D36E	桃園市新路國小(2017)	33345桃園市龜山區永和街12號
74DA38C7D368	桃園市樂善國小(2017)	33371桃園市龜山區樂善街71號
74DA38C7D328	桃園市迴龍國中小(國小部)(2017)	33350桃園市龜山區萬壽路一段168號
74DA38C7D338	桃園市幸福國小(2017)	33345桃園市龜山區頂興路115巷20號
74DA38C7D32A	桃園市文華國小(2017)	33376桃園市龜山區文化七路116號
74DA38C7D33C	桃園市楓樹國小(2017)	33372桃園市龜山區光峰路277號
74DA38C7D332	桃園市南美國小(2017)	33392桃園市龜山區南上路99號
74DA38C7D32C	桃園市自強國小(2017)	33347桃園市龜山區自強東路269號
74DA38C7D324	桃園市長庚國小(2017)	33375桃園市龜山區長庚醫護新村425號
74DA38C7D36A	桃園市文欣國小(2017)	33377桃園市龜山區文昌五街95號
74DA38C7D32E	桃園市大湖國小(2017)	33381桃園市龜山區文三二街80號
74DA38C7D33A	桃園市蘆竹國小(2017)	33849桃園市蘆竹區富國路二段850號
74DA38C7D31C	桃園市南崁國小(2017)	33850桃園市蘆竹區吉林路160號
74DA38C7D31A	桃園市公埔國小(2017)	33860桃園市蘆竹區南山路二段448號
74DA38C7D316	桃園市大竹國小(2017)	33847桃園市蘆竹區大竹路556號
74DA38C7D310	桃園市新興國小(2017)	33862桃園市蘆竹區新興里新興街355號
