74DA38F7C31E	坪頂國小	
74DA38F7C45C	竹圍國小	
74DA38F7C44E	鄧公國小	
74DA38F7C312	新興國小	
74DA38F7C322	新市國小	
74DA38F7C324	石門國小	
74DA38F7C3C6	乾華國小	
74DA38F7C46C	老梅國小	
74DA38F7C3B8	三芝國小	
74DA38F7C4AA	橫山國小	
74DA38F7C486	興華國小	
74DA38F7C488	正德國中	
74DA38F7C484	淡水國中	
74DA38F7C482	竹圍高中	
74DA38F7C49A	淡水商工	
74DA38F7C498	石門國中	
74DA38F7C56E	三芝國中	
74DA38F7C494	三重幼兒園 
74DA38F7C492	蘆洲幼兒園 
74DA38F7C52A	二重國小	
74DA38F7C538	正義國小	
74DA38F7C52E	修德國小	
74DA38F7C530	三光國小	
74DA38F7C532	光興國小	
74DA38F7C534	厚德國小	
74DA38F7C536	永福國小	
74DA38F7C48E	興穀國小	
74DA38F7C48C	光榮國小	
74DA38F7C554	三重國小	
74DA38F7C402	碧華國小	
74DA38F7C400	五華國小	
74DA38F7C43A	重陽國小	
74DA38F7C4F0	集美國小	
74DA38F7C2FC	蘆洲國小	
74DA38F7C4E4	鷺江國小	
74DA38F7C306	成功國小	
74DA38F7C308	仁愛國小	
74DA38F7C310	忠義國小	
74DA38F7C43E	三和國中	
74DA38F7C4DC	二重國中	
74DA38F7C4E2	光榮國中	
74DA38F7C4C8	明志國中	
74DA38F7C4D6	碧華國中	
74DA38F7C4CA	三重高中	
74DA38F7C374	新北高中	
74DA38F7C408	三重商工	
74DA38F7C4E8	蘆洲國中	
74DA38F7C4DE	鷺江國中	
74DA38F7C410	三民高中	
74DA38F7C3E2	板橋幼兒園 
74DA38F7C3EE	土城幼兒園 
74DA38F7C338	板橋國小	
74DA38F7C3F0	國光國小	
74DA38F7C424	新埔國小	
74DA38F7C418	埔墘國小	
74DA38F7C35C	莒光國小	
74DA38F7C34E	後埔國小	
74DA38F7C34C	海山國小	
74DA38F7C422	江翠國小	
74DA38F7C3F4	沙崙國小	
74DA38F7C32A	中山國小	
74DA38F7C3FA	文聖國小	
74DA38F7C33C	文德國小	
74DA38F7C3FC	信義國小	
74DA38F7C3FE	實踐國小	
74DA38F7C3E0	溪洲國小	
74DA38F7C33A	大觀國小	
74DA38F7C3E8	重慶國小	
74DA38F7C3EA	樂利國小	
74DA38F7C4B4	安和國小	
74DA38F7C4B2	土城國小	
74DA38F7C4B 清水國小	
74DA38F7C4AE	頂埔國小	
74DA38F7C4AC	廣福國小	
74DA38F7C5C8	中山國中	
74DA38F7C496	大觀國中	
74DA38F7C48A	忠孝國中	
74DA38F7C4F2	新埔國中	
74DA38F7C4FE	板橋國中	
74DA38F7C490	江翠國中	
74DA38F7C4A8	溪崑國中	
74DA38F7C4A6	重慶國中	
74DA38F7C4A4	光復高中	
74DA38F7C4A2	板橋高中	
74DA38F7C4A0	海山高中	
74DA38F7C49E	中正國中	
74DA38F7C4B8	土城國中	
74DA38F7C4B6	清水高中	
74DA38F7C49C	新北高工	
