74DA3895E188	高雄市文華國小	高雄市鳳山區文化路52號
74DA3895E17E	高雄市鳳翔國小	高雄市鳳山區鳳育路63號
74DA3895E17C	高雄市阿蓮國小	高雄市阿蓮區民族路163號
74DA3895E18C	高雄市復安國小	高雄市阿蓮區復安里167號
74DA3895E180	高雄市中路國小	高雄市阿蓮區中路里272號
74DA3895E18E	高雄市大社國小	高雄市路竹區大社路243號
74DA3895E192	高雄市路竹國小	高雄市路竹區中山路712巷16號
74DA3895E194	高雄市下坑國小	高雄市路竹區太平路384號
74DA3895E184	高雄市竹滬國小	高雄市路竹區竹滬里成功路2號
74DA3895DFF4	高雄市三埤國小	高雄市路竹區民權路7號
74DA3895DFF2	高雄市北嶺國小	高雄市路竹區民治路85號
74DA3895DFF0	高雄市一甲國小	高雄市路竹區甲南里大智路43號
74DA3895DF50	高雄市嘉誠國小	高雄市大社區嘉誠路22號
74DA3895DF82	高雄市大社國小	高雄市大社區三民路336號
74DA3895DF80	高雄市灣內國小	高雄市仁武區仁心路31號
74DA3895DF4E	高雄市八卦國小	高雄市仁武區八卦里永仁街555號
74DA3895DF7E	高雄市烏林國小	高雄市仁武區烏林里林森巷23號
74DA3895DF7A	高雄市仁武國小	高雄市仁武區中正路94號
74DA3895DF78	高雄市龍目國小	高雄市大樹區龍目里56號
74DA3895DF74	高雄市興田國小	高雄市大樹區興田里興田路59號
74DA3895DF62	高雄市小坪國小	高雄市大樹區小坪路73號
74DA3895DF60	高雄市水寮國小	高雄市大樹區水寮里中華路國小巷1號
74DA3895DF72	高雄市鳥松國小	高雄市鳥松區鳥松里文前路32號
74DA3895DF68	高雄市明義國小	高雄市小港區明義街77號
74DA3895DF6A	高雄市鳳陽國小	高雄市小港區鳳陽街2號
74DA3895DF6E	高雄市兆湘國小	高雄市岡山區介壽路60號
74DA3895DF70	高雄市嘉興國小	高雄市岡山區嘉興里嘉興路322號
74DA3895DF52	高雄市和平國小	高雄市岡山區和平路1號
74DA3895DF56	高雄市後紅國小	高雄市岡山區岡燕路二巷八八號
74DA3895DF58	高雄市大華國小	高雄市鳥松區大華里大華路200號
74DA3895DF5A	高雄市仁美國小	高雄市鳥松區華美里學堂路2號
