74DA38F20B6E	高雄市市立嶺口國小	高雄市嶺口國小 高雄市旗山區南勝里龍文巷30號
74DA38F20B74	高雄市市立鼓山國小	高雄市鼓山國小 高雄市旗山區延平一路111號
74DA38F20B82	高雄市市立溪洲國小	高雄市溪洲國小 高雄市旗山區旗南二路126號
74DA38F20B5C	高雄市市立壽天國小	高雄市壽天國小 高雄市岡山區岡山鎮公園東路55號
74DA38F20C2E	高雄市市立王公國小	高雄市王公國小 高雄市林園區王公二路100號
74DA38F20C30	高雄市市立後庄國小	高雄市後庄國小 高雄市大寮區後庄里民揚路28號
74DA38F20C2C	高雄市市立民權國小	高雄市民權國小 高雄市那瑪夏區瑪雅里平和巷220號
74DA38F20C32	高雄市市立興達國小	高雄市興達國小 高雄市茄萣區民治路2號
74DA38F20B28	高雄市市立橋頭國小	高雄市橋頭國小 高雄市橋頭區橋頭里樹德路200號
74DA38F20B80	高雄市市立中崙國小	高雄市中崙國小 高雄市鳳山區中崙四路25號
74DA38F20B84	高雄市市立過埤國小	高雄市過埤國小 高雄市鳳山區過埤里過埤路176號
74DA38F20B76	高雄市市立橫山國小	高雄市橫山國小 高雄市燕巢區橫山里橫山路24號
74DA38F20B78	高雄市市立燕巢國小	高雄市燕巢國小 高雄市燕巢區東燕里中華路177號
74DA38F20B88	高雄市市立興糖國小	高雄市興糖國小 高雄市橋頭區興糖路19巷1號
74DA38F21046	高雄市市立甲圍國小	高雄市甲圍國小 高雄市橋頭區甲北里甲昌路250號
74DA38F2104C	高雄市市立金山國小	高雄市金山國小 高雄市燕巢區金山里番田路29號
74DA38F20FFC	高雄市市立鳳雄國小	高雄市鳳雄國小 高雄市燕巢區鳳加路52號
74DA38F20FE8	高雄市市立安招國小	高雄市安招國小 高雄市燕巢區瓊林里安招路170號
74DA38F20FE2	高雄市市立深水國小	高雄市深水國小 高雄市燕巢區深水里深中路2號
74DA38F20FE4	高雄市市立崇德國小	高雄市崇德國小 高雄市田寮區崇德里崇德路101號
74DA38F21004	高雄市市立新興國小	高雄市新興國小 高雄市田寮區新興里大新路2號
74DA38F21008	高雄市市立蔡文國小	高雄市蔡文國小 高雄市路竹區國昌路548號
74DA38F20FF8	高雄市市立文華國小	高雄市文華國小 高雄市鳳山區文化路52號
74DA38F21048	高雄市市立鳳翔國小	高雄市鳳翔國小 高雄市鳳山區鳳育路63號
74DA38F20FEE	高雄市市立阿蓮國小	高雄市阿蓮國小 高雄市阿蓮區民族路163號
74DA38F20FEC	高雄市市立復安國小	高雄市復安國小 高雄市阿蓮區復安里167號
74DA38F20FFE	高雄市市立中路國小	高雄市中路國小 高雄市阿蓮區中路里272號
74DA38F20FEA	高雄市市立大社國小	高雄市大社國小 高雄市路竹區大社路243號
74DA38F21042	高雄市市立路竹國小	高雄市路竹國小 高雄市路竹區中山路712巷16號
74DA38F21012	高雄市市立下坑國小	高雄市下坑國小 高雄市路竹區太平路384號
74DA38F21040	高雄市市立竹滬國小	高雄市竹滬國小 高雄市路竹區竹滬里成功路2號
74DA38F21000	高雄市市立三埤國小	高雄市三埤國小 高雄市路竹區民權路7號
74DA38F2100E	高雄市市立北嶺國小	高雄市北嶺國小 高雄市路竹區民治路85號
74DA38F21010	高雄市市立一甲國小	高雄市一甲國小 高雄市路竹區甲南里大智路43號
74DA38F20C56	高雄市市立嘉誠國小	高雄市嘉誠國小 高雄市大社區嘉誠路22號
74DA38F20BE0	高雄市市立大社國小	高雄市大社國小 高雄市大社區三民路336號
74DA38F20DE6	高雄市市立灣內國小	高雄市灣內國小 高雄市仁武區仁心路31號
74DA38F20BC8	高雄市市立八卦國小	高雄市八卦國小 高雄市仁武區八卦里永仁街555號
74DA38F20BCC	高雄市市立烏林國小	高雄市烏林國小 高雄市仁武區烏林里林森巷23號
74DA38F20BD2	高雄市市立仁武國小	高雄市仁武國小 高雄市仁武區中正路94號
74DA38F20BD0	高雄市市立龍目國小	高雄市龍目國小 高雄市大樹區龍目里56號
74DA38F20BCE	高雄市市立興田國小	高雄市興田國小 高雄市大樹區興田里興田路59號
74DA38F20C96	高雄市市立小坪國小	高雄市小坪國小 高雄市大樹區小坪路73號
74DA38F20C86	高雄市市立水寮國小	高雄市水寮國小 高雄市大樹區水寮里中華路國小巷1號
74DA38F20C62	高雄市市立鳥松國小	高雄市鳥松國小 高雄市鳥松區鳥松里文前路32號
74DA38F20C6C	高雄市市立明義國小	高雄市明義國小 高雄市小港區明義街77號
74DA38F20C66	高雄市市立鳳陽國小	高雄市鳳陽國小 高雄市小港區鳳陽街2號
74DA38F20C6A	高雄市市立兆湘國小	高雄市兆湘國小 高雄市岡山區介壽路60號
74DA38F20C54	高雄市市立嘉興國小	高雄市嘉興國小 高雄市岡山區嘉興里嘉興路322號
74DA38F20BC6	高雄市市立和平國小	高雄市和平國小 高雄市岡山區和平路1號
74DA38F20BC4	高雄市市立後紅國小	高雄市後紅國小 高雄市岡山區岡燕路二巷八八號
74DA38F20BDE	高雄市市立大華國小	高雄市大華國小 高雄市鳥松區大華里大華路200號
74DA38F20BDC	高雄市市立仁美國小	高雄市仁美國小 高雄市鳥松區華美里學堂路2號
74DA38F20BD6	高雄市市立前峰國小	高雄市前峰國小 高雄市岡山區育英路35號
74DA38F210B4	高雄市市立岡山國小	高雄市岡山國小 高雄市岡山區柳橋東路36號
74DA38F20FB0	高雄市市立仕隆國小	高雄市仕隆國小 高雄市橋頭區仕隆路進校巷16號
74DA38F20FA6	高雄市市立五林國小	高雄市五林國小 高雄市橋頭區東林里五林路160號
74DA38F20FAE	高雄市市立陽明國小	高雄市陽明國小 高雄市三民區義德路52號
74DA38F20FAA	高雄市市立河濱國小	高雄市河濱國小 高雄市三民區市中一路339號
74DA38F20FA8	高雄市市立河堤國小	高雄市河堤國小 高雄市三民區裕誠路3號
74DA38F20FAC	高雄市市立東光國小	高雄市東光國小 高雄市三民區黃興路206號
74DA38F20FBA	高雄市市立光武國小	高雄市光武國小 高雄市三民區光武路35號
74DA38F20FBC	高雄市市立大寮國小	高雄市大寮國小 高雄市大寮區大寮路740號
74DA38F20FC0	高雄市市立大樹國小	高雄市大樹國小 高雄市大樹區中正一路249號
74DA38F2106C	高雄市市立小林國小	高雄市小林國小 高雄市甲仙區小林里五里路24之2號
74DA38F21080	高雄市市立中庄國小	高雄市中庄國小 高雄市大寮區中庄里中庄路59號
74DA38F21084	高雄市市立寶隆國小	高雄市寶隆國小 高雄市甲仙區寶隆里光華路20號
74DA38F20FA4	高雄市市立溪寮國小	高雄市溪寮國小 高雄市大寮區溪寮里溪寮路69號
74DA38F210B2	高雄市市立昭明國小	高雄市昭明國小 高雄市大寮區鳳林一路300巷80號
74DA38F20FB2	高雄市市立潮寮國小	高雄市潮寮國小 高雄市大寮區潮寮里潮寮路61號
74DA38F210B0	高雄市市立忠義國小	高雄市忠義國小 高雄市大寮區忠義路1號
74DA38F210AE	高雄市市立溝坪國小	高雄市溝坪國小 高雄市內門區溝坪里廣福47號
