74DA38F208A4	宜蘭縣縣立大洲國小(2018)	[266]宜蘭縣三星鄉大洲村上將路二段500號
74DA38F20E24	宜蘭縣縣立憲明國小(2018)	[266]宜蘭縣三星鄉天山村福山街119號
74DA38F20E4A	宜蘭縣縣立萬富國小(2018)	[266]宜蘭縣三星鄉萬富村健富路一段309號
74DA38F20E4E	宜蘭縣縣立大隱國小(2018)	[266]宜蘭縣三星鄉大隱中路347號
74DA38F20E5A	宜蘭縣縣立四季國小(2018)	[267]宜蘭縣大同鄉四季村和勳巷1號
74DA38F20E58	宜蘭縣縣立南山國小(2018)	[267]宜蘭縣大同鄉南山村四鄰埤南巷31之3號
74DA38F20E54	宜蘭縣縣立大同國小(2018)	[267]宜蘭縣大同鄉崙埤村10之9號
74DA38F20E52	宜蘭縣縣立寒溪國小(2018)	[267]宜蘭縣大同鄉寒溪村寒溪巷16號
74DA38F20E56	宜蘭縣縣立南澳國小(2018)	[272]宜蘭縣南澳鄉南澳村中正路15號
74DA38F20E50	宜蘭縣縣立碧候國小(2018)	[272]宜蘭縣南澳鄉碧候村自覺巷38號
74DA38F20B34	宜蘭縣縣立武塔國小(2018)	[272]宜蘭縣南澳鄉武塔村新溪路1號
74DA38F20F02	宜蘭縣縣立澳花國小(2018)	[272]宜蘭縣南澳鄉澳花村中央路19號
74DA38F20EC6	宜蘭縣縣立東澳國小(2018)	[272]宜蘭縣南澳鄉東岳村蘇花路三段209號
74DA38F20F00	宜蘭縣縣立金岳國小(2018)	[272]宜蘭縣南澳鄉金岳村 (路) 二號
74DA38F20EC2	宜蘭縣縣立金洋國小(2018)	[272]宜蘭縣南澳鄉金洋村11號
74DA38F20EC4	宜蘭縣縣立人文國(中)小(2018)	[261]宜蘭縣頭城鎮拔雅里文雅路150號
74DA38F20EBE	宜蘭縣縣立清溝國小(2018)	[269]宜蘭縣冬山鄉清溝村永清路369號
74DA38F20EC0	宜蘭縣縣立慈心華德福實中附設國小(2018)	[269]宜蘭縣冬山鄉照安路257號
74DA38F20EBC	宜蘭縣龍潭國小匏崙分校(2018)	[262]宜蘭縣礁溪鄉匏崙路95-2號
74DA38F20EBA	宜蘭縣內城國中小化育分校(2018)	[264]宜蘭縣員山鄉員山路三段256號
74DA38F20EB6	宜蘭縣順安國小中山分校(2018)	[269]宜蘭縣冬山鄉中山村舊寮路55號
74DA38F20854	宜蘭縣四季國小英士分校(2018)	[267]宜蘭縣大同鄉梵梵巷100號
74DA38F208B2	宜蘭縣四季國小茂安分班(2018)	[267]宜蘭縣大同鄉茂安巷4號
74DA38F2087E	宜蘭縣大同國小松羅分校(2018)	[267]宜蘭縣大同鄉松羅南巷88號
74DA38F20882	宜蘭縣大同國小樂水分校(2018)	[267]宜蘭縣大同鄉樂水村碼崙巷53號
74D 38F21200	宜蘭縣縣立宜蘭國中(2018)	[260]宜蘭縣宜蘭市樹人路37號
74DA38F20EE2	宜蘭縣縣立中華國中(2018)	[260]宜蘭縣宜蘭市女中路一段100號
74DA38F20DAC	宜蘭縣縣立復興國中(2018)	[260]宜蘭縣宜蘭市復興路二段77號
74DA38F21202	宜蘭縣縣立羅東國中(2018)	[265]宜蘭縣羅東鎮中華路99號
74DA38F20BFA	宜蘭縣縣立東光國中(2018)	[265]宜蘭縣羅東鎮興東南路201號
74DA38F20E4C	宜蘭縣縣立國華國中(2018)	[265]宜蘭縣羅東鎮國華街101號
74DA38F2081 	宜蘭縣縣立頭城國中(2018)	[261]宜蘭縣頭城鎮復興路145號
74DA38F211E0	宜蘭縣縣立蘇澳國中(2018)	[270]宜蘭縣蘇澳鎮中山路二段1號
74DA38F20886	宜蘭縣縣立文化國中(2018)	[270]宜蘭縣蘇澳鎮永榮里新馬路2號
74DA38F2087C	宜蘭縣縣立南安國中(2018)	[270]宜蘭縣蘇澳鎮學府路117號
74DA38F2082A	宜蘭縣縣立三星國中(2018)	[266]宜蘭縣三星鄉月眉村月眉街54號
74DA38F20820	宜蘭縣縣立礁溪國中(2018)	[262]宜蘭縣礁溪鄉礁溪路四段23號
74DA38F2081E	宜蘭縣縣立吳沙國中(2018)	[262]宜蘭縣礁溪鄉育英路79號
74DA38F20814	宜蘭縣縣立冬山國中(2018)	[269]宜蘭縣冬山鄉南興村照安路26號
74DA38F20812	宜蘭縣縣立順安國中(2018)	[269]宜蘭縣冬山鄉順安村永興路一段359號
74DA38F2096C	宜蘭縣縣立五結國中(2018)	[268]宜蘭縣五結鄉大吉村大吉五路58號
74DA38F21196	宜蘭縣縣立興中國中(2018)	[268]宜蘭縣五結鄉上四村中正東路50號
74DA38F21108	宜蘭縣縣立利澤國中(2018)	[268]宜蘭縣五結鄉成興村利寶路99號
74DA38F21132	宜蘭縣縣立員山國中(2018)	[264]宜蘭縣員山鄉溫泉路92號
74DA38F21122	宜蘭縣縣立壯圍國中(2018)	[263]宜蘭縣壯圍鄉富祥路588號
74DA38F21190	宜蘭縣縣立大同國中(2018)	[267]宜蘭縣大同鄉太平村一鄰泰雅路四段35號
74DA38F21124	宜蘭縣縣立凱旋國中(2018)	[260]宜蘭縣宜蘭市建業里10鄰縣政七街50巷1號
74DA38F21126	宜蘭縣縣立南澳高中附設國中(2018)	[272]宜蘭縣南澳鄉蘇花路二段301號
