08BEAC252B74	屏東縣縣立牡丹國小(2020)	[945]屏東縣牡丹鄉牡丹村牡丹路93號
08BEAC245F50	屏東縣縣立牡丹國中(2020)	[945]屏東縣牡丹鄉石門村石門路1之1號
08BEAC245FD2	屏東縣縣立車城國小(2020)	[944]屏東縣車城鄉福興村中山路66號
08BEAC245F4C	屏東縣縣立車城國小-溫泉分校(2020)	[944]屏東縣車城鄉文化路23號
08BEAC245F64	屏東縣縣立車城國小-射寮分校(2020)	[944]屏東縣車城鄉埔墘路38號
08BEAC245EF8	屏東縣縣立車城國中(2020)	[944]屏東縣車城鄉新興路42號
08BEAC245FD0	屏東縣縣立里港國小(2020)	[905]屏東縣里港鄉過江路41號
08BEAC245EE6	屏東縣縣立載興國小(2020)	[905]屏東縣里港鄉載興村載興路1之3號
08BEAC245F96	屏東縣縣立土庫國小(2020)	[905]屏東縣里港鄉中和村中和路33號
08BEAC246002	屏東縣縣立三和國小(2020)	[905]屏東縣里港鄉土庫路111之3號
08BEAC245F7C	屏東縣縣立塔樓國小(2020)	[905]屏東縣里港鄉塔樓村塔樓路21之3號
08BEAC252A30	屏東縣縣立玉田國小(2020)	[905]屏東縣里港鄉玉田村八德路91號
08BEAC252A06	屏東縣縣立里港國中(2020)	[905]屏東縣里港鄉春林村里中路10號
08BEAC252A12	屏東縣縣立佳冬國小(2020)	[931]屏東縣佳冬鄉進學街150號
08BEAC252A1C	屏東縣縣立塭子國小(2020)	[931]屏東縣佳冬鄉塭豐村中興路1號
08BEAC252940	屏東縣縣立羌園國小(2020)	[931]屏東縣佳冬鄉羌園村羌光路669號
08BEAC252A0E	屏東縣縣立昌隆國小(2020)	[931]屏東縣佳冬鄉昌隆村中正路44號
08BEAC252A68	屏東縣縣立大新國小(2020)	[931]屏東縣佳冬鄉大同村武丁路33號
08BEAC2529C8	屏東縣縣立玉光國小(2020)	[931]屏東縣佳冬鄉玉光村民學路81號
08BEAC2529CC	屏東縣縣立佳冬國中(2020)	[931]屏東縣佳冬鄉玉光村大同路1號
08BEAC252A28	屏東縣縣立來義國小(2020)	[922]屏東縣來義鄉丹林村古義路2號
08BEAC2529CA	屏東縣縣立望嘉國小(2020)	[922]屏東縣來義鄉望嘉村165號
08BEAC252A02	屏東縣縣立文樂國小(2020)	[922]屏東縣來義鄉文樂村新樂路1號
08BEAC252A64	屏東縣縣立南和國小(2020)	[922]屏東縣來義鄉南和村51號
08BEAC2529C6	屏東縣縣立古樓國小(2020)	[922]屏東縣來義鄉古樓村育英路2號
08BEAC245FA4	屏東縣縣立來義高中附設國中(2020)	[922]屏東縣來義鄉古樓村中正路147號
08BEAC252A2A	屏東縣縣立東港國小(2020)	[928]屏東縣東港鎮興東里中正路一段10號
08BEAC25296C	屏東縣縣立東隆國小(2020)	[928]屏東縣東港鎮共和里共和路45號
08BEAC252964	屏東縣縣立海濱國小(2020)	[928]屏東縣東港鎮豐漁里豐漁街34之2號
08BEAC252A22	屏東縣縣立以栗國小(2020)	[928]屏東縣東港鎮船頭里船頭路25號
08BEAC2528FE	屏東縣縣立大潭國小(2020)	[928]屏東縣東港鎮大潭里大潭路93號
08BEAC2528DE	屏東縣縣立東興國小(2020)	[928]屏東縣東港鎮興東里興東路43-1號
08BEAC252902	屏東縣縣立東光國小(2020)	[928]屏東縣東港鎮興東里長春二路15號
08BEAC2528F2	屏東縣縣立東新國中(2020)	[928]屏東縣東港鎮興東里東新路1號
08BEAC252944	屏東縣縣立東港高中附設國中(2020)	[928]屏東縣東港鎮船頭路1號
08BEAC252A1A	屏東縣縣立楓港國小(2020)	[941]屏東縣枋山鄉善餘村光復路24號
08BEAC2528FC	屏東縣縣立加祿國小(2020)	[941]屏東縣枋山鄉加祿村會社路28號
08BEAC2528E8	屏東縣縣立加祿國小-枋山分校(2020)	[941]屏東縣枋山鄉枋山村枋山路6號
08BEAC252900	屏東縣縣立獅子國中(2020)	[941]屏東縣枋山鄉楓港村舊庄280號
08BEAC2528D6	屏東縣縣立枋寮高中附設國中-正成分校(2020)	[900]屏東縣枋山鄉枋山村國中路1號
08BEAC25297E	屏東縣縣立枋寮國小(2020)	[940]屏東縣枋寮鄉德興路197號
08BEAC245E9C	屏東縣縣立僑德國小(2020)	[940]屏東縣枋寮鄉隆山村僑德路186號
08BEAC245EA6	屏東縣縣立建興國小(2020)	[940]屏東縣枋寮鄉人和村建興路39號
08BEAC245E80	屏東縣縣立東海國小(2020)	[940]屏東縣枋寮鄉東海村東海路486號
08BEAC245E84	屏東縣縣立枋寮高中附設國中(2020)	[940]屏東縣枋寮鄉新龍村義民路3號
08BEAC245E90	屏東縣縣立林邊國小(2020)	[927]屏東縣林邊鄉林邊村中山路68號
08BEAC252BCC	屏東縣縣立仁和國小(2020)	[927]屏東縣林邊鄉仁和村中山路417號
08BEAC252828	屏東縣縣立竹林國小(2020)	[927]屏東縣林邊鄉竹林村中興路122號
08BEAC245E88	屏東縣縣立崎峰國小(2020)	[927]屏東縣林邊鄉崎峰村裕後路2號
08BEAC245E7C	屏東縣縣立水利國小(2020)	[927]屏東縣林邊鄉水利村豐漁路117號
08BEAC245E92	屏東縣縣立林邊國中(2020)	[927]屏東縣林邊鄉光林村和平路43號
08BEAC252818	屏東縣私立崇華國小(2020)	[908]屏東縣長治鄉復興村新興路38號
08BEAC25282E	屏東縣縣立長興國小(2020)	[908]屏東縣長治鄉新潭村潭頭路50號
08BEAC25281A	屏東縣縣立繁華國小(2020)	[908]屏東縣長治鄉繁華村水源路96號
08BEAC252832	屏東縣縣立德協國小(2020)	[908]屏東縣長治鄉德成村中興路551號
08BEAC252824	屏東縣縣立長治國中(2020)	[908]屏東縣長治鄉德成村中興路578號
08BEAC245F62	屏東縣縣立南州國小(2020)	[926]屏東縣南州鄉溪南村人和路191號
08BEAC252962	屏東縣縣立同安國小(2020)	[926]屏東縣南州鄉同安村同安路79號
08BEAC252A20	屏東縣縣立溪北國小(2020)	[926]屏東縣南州鄉溪北村仁里路102號
08BEAC252968	屏東縣縣立南州國中(2020)	[926]屏東縣南州鄉人和路231號
08BEAC252958	屏東縣國立屏東大學實小(2020)	[900]屏東縣屏東市長春里廣東路20號
08BEAC25295E	屏東縣縣立中正國小(2020)	[900]屏東縣屏東市文明里蘇州街75號
08BEAC252946	屏東縣縣立仁愛國小(2020)	[900]屏東縣屏東市興樂里仁愛路98號
08BEAC25293E	屏東縣縣立海豐國小(2020)	[900]屏東縣屏東市三山里海豐街3號
08BEAC245DE8	屏東縣縣立公館國小(2020)	[900]屏東縣屏東市龍華里公華街182號
08BEAC245FEA	屏東縣縣立大同國小(2020)	[900]屏東縣屏東市安鎮里建國路202號
08BEAC245FE0	屏東縣縣立鶴聲國小(2020)	[900]屏東縣屏東市崇武里建國路121號
08BEAC245FEC	屏東縣縣立凌雲國小(2020)	[900]屏東縣屏東市鵬程里光大巷61號
08BEAC252952	屏東縣縣立勝利國小(2020)	[900]屏東縣屏東市勝利里蘭州街2號
08BEAC252966	屏東縣縣立歸來國小(2020)	[900]屏東縣屏東市湖西里歸國巷1號
08BEAC252A98	屏東縣縣立前進國小(2020)	[900]屏東縣屏東市建國路405巷100弄39號
08BEAC252988	屏東縣縣立唐榮國小(2020)	[900]屏東縣屏東市崇禮里中山路41號
08BEAC2528E2	屏東縣縣立民和國小(2020)	[900]屏東縣屏東市自立路213號
08BEAC2528FA	屏東縣縣立建國國小(2020)	[900]屏東縣屏東市萬年里建興路36號
08BEAC2528E0	屏東縣縣立復興國小(2020)	[900]屏東縣屏東市永安里復興南路376號
08BEAC2528E6	屏東縣縣立忠孝國小(2020)	[900]屏東縣屏東市建豐路204號
08BEAC252904	屏東縣縣立和平國小(2020)	[900]屏東縣屏東市中正里華正路80號
08BEAC252982	屏東縣縣立信義國小(2020)	[900]屏東縣屏東市信義路262號
08BEAC252906	屏東縣縣立瑞光國小(2020)	[900]屏東縣屏東市興豐路86號
08BEAC25293C	屏東縣縣立崇蘭國小(2020)	[900]屏東縣屏東市廣東路1259號
08BEAC252A56	屏東縣縣立民生國小(2020)	[900]屏東縣屏東市瑞光里安心四橫巷139-1號
08BEAC245FEE	屏東縣縣立明正國中(2020)	[900]屏東縣屏東市大連路70號
08BEAC245FF0	屏東縣縣立中正國中(2020)	[900]屏東縣屏東市民學路2號
08BEAC252980	屏東縣縣立公正國中(2020)	[900]屏東縣屏東市公興路11號
08BEAC245FC4	屏東縣縣立鶴聲國中(2020)	[900]屏東縣屏東市大武路225號
08BEAC245FDE	屏東縣縣立至正國中(2020)	[900]屏東縣屏東市公裕街300號
08BEAC245E3C	屏東縣私立陸興高中附設國中(2020)	[900]屏東縣屏東市豐田里廣東路150號
08BEAC245F98	屏東縣縣立大同高中附設國中(2020)	[900]屏東縣屏東市和平路429號
08BEAC245D8C	屏東縣縣立恆春國小(2020)	[946]屏東縣恆春鎮城北里北門路39巷26號
08BEAC245F2E	屏東縣縣立恆春國小-南灣分校(2020)	[946]屏東縣恆春鎮南灣里南灣路仁愛巷87號
08BEAC245F38	屏東縣縣立僑勇國小(2020)	[946]屏東縣恆春鎮城北里西門路146號
08BEAC245FDC	屏東縣縣立山海國小(2020)	[946]屏東縣恆春鎮山海里山海路86號
08BEAC245FB2	屏東縣縣立大光國小(2020)	[946]屏東縣恆春鎮大光里大光路8之6號
08BEAC245F82	屏東縣縣立水泉國小(2020)	[946]屏東縣恆春鎮水泉里頂泉路1號
08BEAC245F58	屏東縣縣立水泉國小-龍泉分校(2020)	[946]屏東縣恆春鎮龍水里草潭路171號
08BEAC245F8E	屏東縣縣立大平國小(2020)	[946]屏東縣恆春鎮頭溝里頭溝路161號
08BEAC245F90	屏東縣縣立墾丁國小(2020)	[946]屏東縣恆春鎮墾丁里墾丁路65號
08BEAC245FB4	屏東縣縣立墾丁國小-鵝鑾分校(2020)	[946]屏東縣恆春鎮砂島路216號
08BEAC245FBE	屏東縣縣立恆春國中(2020)	[946]屏東縣恆春鎮文化路79號
08BEAC245EEA	屏東縣縣立春日國小(2020)	[942]屏東縣春日鄉春日村春日路314號
08BEAC245EF2	屏東縣縣立力里國小(2020)	[942]屏東縣春日鄉七佳村自強一路92號
08BEAC252A74	屏東縣縣立古華國小(2020)	[942]屏東縣春日鄉古華村古華路3巷63號
08BEAC252A7E	屏東縣縣立古華國小-士文分校(2020)	[942]屏東縣春日鄉士文村65號
08BEAC252A94	屏東縣縣立崁頂國小(2020)	[924]屏東縣崁頂鄉崁頂村中正路119號
08BEAC252A86	屏東縣縣立港東國小(2020)	[924]屏東縣崁頂鄉越溪村復興路96號
08BEAC252A92	屏東縣縣立力社國小(2020)	[924]屏東縣崁頂鄉力社村力社路36號
08BEAC252A72	屏東縣私立南榮國中(2020)	[924]屏東縣崁頂鄉園寮村田寮路1之15號
08BEAC252AA4	屏東縣縣立武潭國小(2020)	[921]屏東縣泰武鄉武潭村潭中巷45號
08BEAC245E62	屏東縣縣立武潭國小-平和分校(2020)	[921]屏東縣泰武鄉平和村太和巷1號
08BEAC245FFA	屏東縣縣立武潭國小-佳平分校(2020)	[921]屏東縣泰武鄉佳平村118號
08BEAC252A82	屏東縣縣立泰武國小(2020)	[921]屏東縣泰武鄉泰武村阿夫魯岸路1號
08BEAC245F3E	屏東縣縣立萬安國小(2020)	[921]屏東縣泰武鄉萬安村萬安路1號
