08BEAC0A0702	臺南市市立文賢國小	[717]臺南市仁德區保安里文賢路一段886號
08BEAC0A07E6	臺南市市立虎山實驗小學	[717]臺南市仁德區成功里虎山一街100號
08BEAC0A0558	臺南市市立大甲國小	[717]臺南市仁德區大甲里中正西路360巷30號
08BEAC0A06D2	臺南市市立德南國小	[717]臺南市仁德區後壁里中正路二段209號
08BEAC0A03C2	臺南市市立仁和國小	[717]臺南市仁德區仁愛里保仁路68號
08BEAC0A0170	臺南市市立長興國小	[717]臺南市仁德區土庫路6號
08BEAC0A056C	臺南市市立仁德國小	[717]臺南市仁德區中正路二段806號
08BEAC0A05AC	臺南市市立依仁國小	[717]臺南市仁德區中洲里中洲1之126號
08BEAC0A05EA	臺南市市立文和實驗小學	[718]臺南市關廟區布袋里長文街37號
08BEAC0A06AE	臺南市市立五甲國小	[718]臺南市關廟區和平路246號
08BEAC0A085C	臺南市市立深坑國小	[718]臺南市關廟區南雄路一段487號
08BEAC0A0284	臺南市市立保東國小	[718]臺南市關廟區埤頭里關新路一段776號
08BEAC0A0570	臺南市市立關廟國小	[718]臺南市關廟區山西里文衡路121號
08BEAC0A05EE	臺南市市立崇和國小	[718]臺南市關廟區田中里南雄南路568號
08BEAC0A0824	臺南市市立新光國小	[718]臺南市關廟區新光街76號
08BEAC0A0808	臺南市市立龍崎國小	[719]臺南市龍崎區崎頂里新市子41號
08BEAC0A07B8	臺南市市立渡拔國小	[720]臺南市官田區拔林里77之1號
08BEAC0A052E	臺南市市立官田國小	[720]臺南市官田區官田里11號
08BEAC0A07B2	臺南市市立隆田國小	[720]臺南市官田區隆田里中山路一段127號
08BEAC0A051C	臺南市市立安業國小	[721]臺南市麻豆區安東里113號
08BEAC0A0532	臺南市市立北勢國小	[721]臺南市麻豆區北勢里15號
08BEAC0A0536	臺南市市立麻豆國小	[721]臺南市麻豆區東角里文昌路18號
08BEAC0A0686	臺南市市立港尾國小	[721]臺南市麻豆區港尾里港尾9號
08BEAC0A0492	臺南市市立大山國小	[721]臺南市麻豆區海埔里大山腳1號
08BEAC0A0818	臺南市市立培文國小	[721]臺南市麻豆區和平路11號
08BEAC0A0472	臺南市市立文正國小	[721]臺南市麻豆區南勢里86號
08BEAC0A048C	臺南市市立紀安國小	[721]臺南市麻豆區謝安里231號
08BEAC0A046A	臺南市市立佳里國小	[722]臺南市佳里區安西里公園路445號
08BEAC0A0496	臺南市市立延平國小	[722]臺南市佳里區頂廍里136號
