74DA38ED0640	花蓮縣立永豐國小	[983]花蓮縣富里鄉豐南村永豐84號
74DA38ED046E	花蓮縣立萬寧國小	[983]花蓮縣富里鄉萬寧村鎮寧108號
74DA38ED041E	花蓮縣立東竹國小	[983]花蓮縣富里鄉竹田村富田3號
74DA38ED042A	花蓮縣立秀林國小	[972]花蓮縣秀林鄉秀林村秀林路76號
74DA38ED0410	花蓮縣立富世國小	[972]花蓮縣秀林鄉富世村127號
74DA38ED06C0	花蓮縣立崇德國小	[972]花蓮縣秀林鄉崇德村72號
74DA38ED047A	花蓮縣立和平國小	[972]花蓮縣秀林鄉和平村112號
74DA38ED0486	花蓮縣立景美國小	[972]花蓮縣秀林鄉景美村加灣112號
74DA38ED05B2	花蓮縣立三棧國小	[972]花蓮縣秀林鄉景美村三棧102號
74DA38ED0454	花蓮縣立佳民國小	[972]花蓮縣秀林鄉佳民村119號
74DA38ED06A4	花蓮縣立銅門國小	[972]花蓮縣秀林鄉銅門村69號
74DA38ED05A0	花蓮縣立水源國小	[972]花蓮縣秀林鄉水源村111號
74DA38ED059E	花蓮縣立銅蘭國小	[972]花蓮縣秀林鄉文蘭村70號
74DA38ED05AE	花蓮縣立文蘭國小	[972]花蓮縣秀林鄉文蘭村米亞丸1號
74DA38ED059A	花蓮縣立萬榮國小	[979]花蓮縣萬榮鄉萬榮村2鄰31號
74DA38ED059C	花蓮縣立明利國小	[979]花蓮縣萬榮鄉明利村35號
74DA38ED0596	花蓮縣立見晴國小	[979]花蓮縣萬榮鄉見晴村89號
74DA38ED05B0	花蓮縣立馬遠國小	[979]花蓮縣萬榮鄉馬遠村39號
74DA38ED0594	花蓮縣立西林國小	[979]花蓮縣萬榮鄉西林村8鄰114號
74DA38ED0590	花蓮縣立紅葉國小	[979]花蓮縣萬榮鄉紅葉村1鄰4號
74DA38ED0592	花蓮縣立卓溪國小	[982]花蓮縣卓溪鄉卓溪村中正路72號
74DA38ED064C	花蓮縣立崙山國小	[982]花蓮縣卓溪鄉崙山村1鄰12號
74DA38ED0642	花蓮縣立立山國小	[982]花蓮縣卓溪鄉立山村9鄰90號
74DA38ED063C	花蓮縣立太平國小	[982]花蓮縣卓溪鄉太平村1鄰2號
74DA38ED0656	花蓮縣立卓清國小	[982]花蓮縣卓溪鄉卓清村清水6號
74DA38ED063A	花蓮縣立卓樂國小	[982]花蓮縣卓溪鄉卓清村卓樂86號
74DA38ED05D4	花蓮縣立古風國小	[982]花蓮縣卓溪鄉古風村崙天18號
74DA38ED0416	花蓮縣立奇美國小	[978]花蓮縣瑞穗鄉奇美村47號
74DA38ED05BA	花蓮縣立卓楓國小	[982]花蓮縣卓溪鄉古風村十二鄰古楓6號
74DA38ED057A	花蓮縣立西富國小	[976]花蓮縣光復鄉西富村民有街51巷3號
74DA38ED05AC	花蓮縣立大興國小	[976]花蓮縣光復鄉大興村民權街17號
74DA38EBF8A4	花蓮縣立西寶國小	[972]花蓮縣秀林鄉富世村西寶11號
74DA38EBF88E	花蓮縣立中原國小	[970]花蓮縣花蓮市中原路531號
74DA38EBF8BC	花蓮縣立玉里國中	[981]花蓮縣玉里鎮民族街30號
74DA38EBF88C	花蓮縣立玉東國中	[981]花蓮縣玉里鎮松浦里松浦39號
74DA38EBF880	花蓮縣立三民國中	[981]花蓮縣玉里鎮三民里151號
74DA38EBF8BA	花蓮縣立美崙國中	[970]花蓮縣花蓮市化道路40巷1號
74DA38EBF88A	花蓮縣立花崗國中	[970]花蓮縣花蓮市公園路40號
74DA38EBF876	花蓮縣立國風國中	[970]花蓮縣花蓮市國風里林政街7號
74DA38EBF8CC	花蓮縣立秀林國中	[971]花蓮縣新城鄉新城村中山路56號
74DA38EBF8B8	花蓮縣立新城國中	[971]花蓮縣新城鄉北埔村北埔路143號
74DA38EBF8E2	花蓮縣立吉安國中	[973]花蓮縣吉安鄉中山路三段662號
74DA38EBF8C2	花蓮縣立宜昌國中	[973]花蓮縣吉安鄉宜昌1街41號
74DA38EBF874	花蓮縣立壽豐國中	[974]花蓮縣壽豐鄉豐裡村中山路132號
74DA38EBF878	花蓮縣立平和國中	[974]花蓮縣壽豐鄉平和村平和路48號
74DA38EBF8C0	花蓮縣立光復國中	[976]花蓮縣光復鄉大馬村林森路200號
74DA38EBF8AA	花蓮縣立富源國中	[976]花蓮縣光復鄉大富村中山路一段2號
74DA38EBF872	花蓮縣立鳳林國中	[975]花蓮縣鳳林鎮光復路8號
74DA38EBF8BE	花蓮縣立萬榮國中	[975]花蓮縣鳳林鎮長橋路1號
74DA38EBF8A8	花蓮縣立富里國中	[983]花蓮縣富里鄉永安路173號
74DA38EBF870	花蓮縣立富北國中	[983]花蓮縣富里鄉新興村一鄰8號
74DA38ED06E0	花蓮縣立豐濱國中	[977]花蓮縣豐濱鄉光豐路26號
74DA38ED06EC	花蓮縣立瑞穗國中	[978]花蓮縣瑞穗鄉成功北路18號
74DA38ED071E	花蓮縣立東里國中	[983]花蓮縣富里鄉東里村道化路82號
74DA38EBF61E	花蓮縣立自強國中	[970]花蓮縣花蓮市裕祥路89號
74DA38EBF636	花蓮縣立化仁國中	[973]花蓮縣吉安鄉東昌村東海十街3號
74DA38EBF622	花蓮縣立南平中學	[975]花蓮縣鳳林鎮八德路62號
