08BEAC25286C	花蓮縣縣立三棧國小(2020)
08BEAC2529A8	花蓮縣縣立佳民國小(2020)
08BEAC252A38	花蓮縣縣立銅門國小(2020)
08BEAC252A36	花蓮縣縣立水源國小(2020)
08BEAC252A3A	花蓮縣縣立銅蘭國小(2020)
08BEAC2529D6	花蓮縣縣立文蘭國小(2020)
08BEAC2529AA	花蓮縣縣立西寶國小(2020)
08BEAC252A34	花蓮縣縣立新城國小(2020)
08BEAC245EE0	花蓮縣縣立北埔國小(2020)
08BEAC2529A0	花蓮縣縣立康樂國小(2020)
08BEAC252C02	花蓮縣縣立嘉里國小(2020)
08BEAC252B94	花蓮縣縣立秀林國中(2020)
08BEAC252BF2	花蓮縣縣立新城國中(2020)
